Product_Name,Price
"ADVAN Workplus Core i5 12600H Memori 24 GB SSD 512 GB GB Win 11 / ADVAN WORKPLUS I5 12600H 24GB 512GB W11 (Intel Core i5 12600H, RAM 24 GB, SSD 512 GB, Vga Intel Iris Xe Graphics, LED 14 WUXGA, Win 11 Home) Ready Stock",7550000
"ADVAN Workplus Core i5 12600H Memori 24 GB SSD 512 GB GB Win 11 Pro (Intel Core i5 12600H, RAM 24 GB, SSD 512 GB, Vga Intel Iris Xe Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",8400000
"ADVAN Workplus Core i5 12600H Memori 24 GB SSD 1 TB GB Win 11 Pro (Intel Core i5 12600H, RAM 24 GB, SSD 1 TB, Vga Intel Iris Xe Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",9400000
"ADVAN Workplus Core i5 12600H Memori 24 GB SSD 2 TB GB Win 11 Pro (Intel Core i5 12600H, RAM 24 GB, SSD 2 TB, Vga Intel Iris Xe Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",10400000
"ADVAN Workplus Core i5 12600H Memori 24 GB SSD 4 TB GB Win 11 Pro (Intel Core i5 12600H, RAM 24 GB, SSD 4 TB, Vga Intel Iris Xe Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",11900000
"ADVAN Pixwar Ryzen 7 6800H Memori 16 GB SSD 512 GB Win 11 / ADVAN PIXWAR RYZEN 7 6800H 16GB 512GB W11 (AMD Ryzen 7 6800H, RAM 16 GB, SSD 512 GB, Vga AMD Radeon 680M, LED 15.6 FHD, Win 11 Home) Ready Stock",7500000
"ADVAN Pixwar Ryzen 7 6800H Memori 16 GB SSD 512 GB Win 11 Pro (AMD Ryzen 7 6800H, RAM 16 GB, SSD 512 GB, Vga AMD Radeon 680M, LED 15.6 FHD, Windows 11 Profesional) Ready Stock",8400000
"ADVAN Pixwar Ryzen 7 6800H Memori 16 GB SSD 1 TB Win 11 Pro (AMD Ryzen 7 6800H, RAM 16 GB, SSD 1 TB, Vga AMD Radeon 680M, LED 15.6 FHD, Windows 11 Profesional) Ready Stock",9400000
"ADVAN Pixwar Ryzen 7 6800H Memori 16 GB SSD 2 TB Win 11 Pro (AMD Ryzen 7 6800H, RAM 16 GB, SSD 2 TB, Vga AMD Radeon 680M, LED 15.6 FHD, Windows 11 Profesional) Ready Stock",10400000
"ADVAN Pixwar Ryzen 7 6800H Memori 16 GB SSD 4 TB Win 11 Pro (AMD Ryzen 7 6800H, RAM 16 GB, SSD 4 TB, Vga AMD Radeon 680M, LED 15.6 FHD, Windows 11 Profesional) Ready Stock",11900000
"ADVAN Pixwar Ryzen 7 6800H Memori 32 GB SSD 512 GB Win 11 Pro (AMD Ryzen 7 6800H, RAM 32 GB, SSD 512 GB, Vga AMD Radeon 680M, LED 15.6 FHD, Windows 11 Profesional) Ready Stock",9400000
"ADVAN Pixwar Ryzen 7 6800H Memori 32 GB SSD 1 TB Win 11 Pro (AMD Ryzen 7 6800H, RAM 32 GB, SSD 1 TB, Vga AMD Radeon 680M, LED 15.6 FHD, Windows 11 Profesional) Ready Stock",10400000
"ADVAN Pixwar Ryzen 7 6800H Memori 32 GB SSD 2 TB Win 11 Pro (AMD Ryzen 7 6800H, RAM 32 GB, SSD 2 TB, Vga AMD Radeon 680M, LED 15.6 FHD, Windows 11 Profesional) Ready Stock",11400000
"ADVAN Pixwar Ryzen 7 6800H Memori 32 GB SSD 4 TB Win 11 Pro (AMD Ryzen 7 6800H, RAM 32 GB, SSD 4 TB, Vga AMD Radeon 680M, LED 15.6 FHD, Windows 11 Profesional) Ready Stock",12900000
"ADVAN 360 Core i3 1215U Memori 8 GB SSD 256 GB GB Win 11 / AADVAN 360 STYLUS PRO I3 1215 8GB 256GB W11 (Intel Core i3 1215U, RAM 8 GB, SSD 256 GB, Vga Intel, LED 14"" FHD Touchscreen, Win 11 Home) Ready Stock",6150000
"ADVAN 360 Core i3 1215U Memori 8 GB SSD 256 GB GB Win 11 Pro (Intel Core i3 1215U, RAM 8 GB, SSD 256 GB, Vga Intel, LED 14"" FHD Touchscreen, Windows 11 Profesional) Ready Stock",6900000
"ADVAN 360 Core i3 1215U Memori 8 GB SSD 512 GB GB Win 11 Pro (Intel Core i3 1215U, RAM 8 GB, SSD 512 GB, Vga Intel, LED 14"" FHD Touchscreen, Windows 11 Profesional) Ready Stock",7400000
"ADVAN 360 Core i3 1215U Memori 8 GB SSD 1 TB GB Win 11 Pro (Intel Core i3 1215U, RAM 8 GB, SSD 1 TB, Vga Intel, LED 14"" FHD Touchscreen, Windows 11 Profesional) Ready Stock",7900000
"ADVAN 360 Core i3 1215U Memori 8 GB SSD 2 TB GB Win 11 Pro (Intel Core i3 1215U, RAM 8 GB, SSD 2 TB, Vga Intel, LED 14"" FHD Touchscreen, Windows 11 Profesional) Ready Stock",8400000
"ADVAN 360 Core i3 1215U Memori 8 GB SSD 4 TB GB Win 11 Pro (Intel Core i3 1215U, RAM 8 GB, SSD 4 TB, Vga Intel, LED 14"" FHD Touchscreen, Windows 11 Profesional) Ready Stock",9900000
"ADVAN 360 Core i5 1035G7 Memori 8 GB SSD 256 GB GB Win 11 (Intel Core i5 1035G7, RAM 8 GB, SSD 256 GB, Vga Intel, LED 14"" FHD Touchscreen, Win 11 Home) Ready Stock",6200000
